chrom	start	end	sample	hap_index	S*_start	S*_end	post_null	post_src1	post_src2
21	31210000	31260000	NA06984	2	31210856	31224330	0.99999945	1.2e-07	4.3e-07
21	31880000	31930000	NA06984	1	31912897	31929661	0.99999918	2.7e-07	5.4e-07
21	32230000	32280000	NA06984	1	32253513	32272925	0.99999772	5.8e-07	1.7e-06
21	32710000	32760000	NA06984	2	32744501	32759983	0.9999968	1.29e-06	1.91e-06
21	32720000	32770000	NA06984	2	32744501	32762413	0.99999615	1.5e-06	2.35e-06
21	32740000	32790000	NA06984	2	32744501	32762413	0.99999615	1.5e-06	2.35e-06
21	32790000	32840000	NA06984	2	32824034	32838808	0.99999775	1.05e-06	1.2e-06
21	32840000	32890000	NA06984	1	32841153	32853452	0.99999907	3.3e-07	6e-07
21	32910000	32960000	NA06984	2	32937844	32953202	0.99999934	1.7e-07	4.9e-07
21	32980000	33030000	NA06984	2	32980988	32994849	0.9999974	8.3e-07	1.77e-06
21	33020000	33070000	NA06984	2	33051524	33066134	0.99999843	4.7e-07	1.1e-06
21	33030000	33080000	NA06984	2	33051524	33073125	0.99999878	3.3e-07	8.9e-07
21	34360000	34410000	NA06984	2	34390317	34402457	0.99999912	3.2e-07	5.6e-07
21	34540000	34590000	NA06984	2	34545436	34566185	0.99999871	4.6e-07	8.2e-07
21	34600000	34650000	NA06984	1	34626124	34646417	0.99999955	1.1e-07	3.3e-07
21	34610000	34660000	NA06984	1	34626124	34646417	0.99999955	1.1e-07	3.3e-07
21	34720000	34770000	NA06984	1	34748357	34764288	0.99999714	8.2e-07	2.04e-06
21	34730000	34780000	NA06984	1	34748357	34764288	0.99999714	8.2e-07	2.04e-06
21	34750000	34800000	NA06984	1	34752712	34764288	0.99999761	6.8e-07	1.7e-06
21	34820000	34870000	NA06984	2	34834727	34859687	0.99999958	1.3e-07	2.9e-07
21	34830000	34880000	NA06984	1	34845307	34860839	0.99999665	9.2e-07	2.44e-06
21	34830000	34880000	NA06984	2	34834727	34859687	0.99999958	1.3e-07	2.9e-07
21	34840000	34890000	NA06984	1	34845307	34860839	0.99999665	9.2e-07	2.44e-06
21	34840000	34890000	NA06984	2	34841869	34859687	0.99999952	1.3e-07	3.6e-07
21	35180000	35230000	NA06984	2	35216760	35228502	0.9999956	1.07e-06	3.33e-06
21	35190000	35240000	NA06984	2	35216760	35236467	0.99999534	1.71e-06	2.94e-06
21	35410000	35460000	NA06984	1	35429836	35449724	0.99999761	8.5e-07	1.54e-06
21	35410000	35460000	NA06984	2	35419944	35436532	0.99999643	2.03e-06	1.54e-06
21	36720000	36770000	NA06984	2	36722142	36741630	0.99999513	1.45e-06	3.42e-06
21	36810000	36860000	NA06984	1	36836793	36857488	0.99999607	1.48e-06	2.45e-06
21	36810000	36860000	NA06984	2	36816087	36835576	0.99999605	1.51e-06	2.44e-06
21	37230000	37280000	NA06984	2	37263268	37279179	0.99998673	3.48e-06	9.79e-06
21	37580000	37630000	NA06984	1	37580881	37597681	0.99999168	3.61e-06	4.7e-06
21	37580000	37630000	NA06984	2	37610558	37624913	0.99998141	4.38e-06	1.422e-05
21	37880000	37930000	NA06984	2	37891216	37906238	0.99999951	1.4e-07	3.5e-07
21	38000000	38050000	NA06984	1	38034906	38046661	0.99999273	3.41e-06	3.85e-06
21	38090000	38140000	NA06984	2	38114763	38132830	0.99999928	2.4e-07	4.8e-07
21	38100000	38150000	NA06984	2	38114763	38132830	0.99999928	2.4e-07	4.8e-07
21	38110000	38160000	NA06984	2	38114763	38132830	0.99999928	2.4e-07	4.8e-07
21	38160000	38210000	NA06984	1	38160911	38182852	0.99999456	8.9e-07	4.55e-06
21	38170000	38220000	NA06984	1	38170435	38182852	0.9999971	5.9e-07	2.31e-06
21	38560000	38610000	NA06984	1	38594217	38609051	0.99999227	2.24e-06	5.49e-06
21	39180000	39230000	NA06984	1	39208744	39222120	0.99999865	3e-07	1.05e-06
21	39410000	39460000	NA06984	2	39437456	39450474	0.99999909	2.4e-07	6.7e-07
21	39850000	39900000	NA06984	1	39881848	39899477	0.99999796	5.2e-07	1.52e-06
21	40250000	40300000	NA06984	2	40253539	40266440	0.999998	6.3e-07	1.37e-06
21	40340000	40390000	NA06984	2	40361059	40380249	0.99999868	4e-07	9.2e-07
21	40420000	40470000	NA06984	1	40448610	40468430	0.99999944	1.6e-07	4.1e-07
21	40450000	40500000	NA06984	1	40487276	40499194	0.99999928	1.8e-07	5.4e-07
21	40500000	40550000	NA06984	1	40507536	40522228	0.99999926	2.4e-07	5e-07
21	40800000	40850000	NA06984	2	40823465	40844300	0.9999984	4.9e-07	1.1e-06
21	41210000	41260000	NA06984	2	41215236	41230919	0.99999828	5.8e-07	1.14e-06
21	41280000	41330000	NA06984	1	41296345	41310256	0.99999606	1.83e-06	2.12e-06
21	41360000	41410000	NA06984	1	41389728	41409493	0.99999919	2.9e-07	5.2e-07
21	41410000	41460000	NA06984	2	41426571	41450509	0.99999875	2.3e-07	1.02e-06
21	41420000	41470000	NA06984	2	41426571	41450509	0.99999875	2.3e-07	1.02e-06
21	41590000	41640000	NA06984	1	41596927	41617634	0.99999942	1.4e-07	4.4e-07
21	41590000	41640000	NA06984	2	41613293	41637182	0.99999814	7.6e-07	1.1e-06
21	41920000	41970000	NA06984	2	41935253	41951503	0.99999957	1.1e-07	3.2e-07
21	42160000	42210000	NA06984	2	42190175	42206105	0.99999294	3.88e-06	3.18e-06
21	42220000	42270000	NA06984	1	42233986	42247803	0.99999909	2.7e-07	6.4e-07
21	42470000	42520000	NA06984	1	42497105	42516902	0.99999633	8e-07	2.88e-06
21	42830000	42880000	NA06984	1	42862768	42879604	0.99999703	6.7e-07	2.3e-06
21	42890000	42940000	NA06984	2	42892056	42904517	0.99999897	3.7e-07	6.6e-07
21	42990000	43040000	NA06984	2	43019438	43039395	0.99999825	5.1e-07	1.24e-06
21	43000000	43050000	NA06984	2	43019438	43040254	0.99999916	2.4e-07	6e-07
21	43100000	43150000	NA06984	1	43124186	43134690	0.99999765	4.8e-07	1.87e-06
21	43140000	43190000	NA06984	1	43157384	43177124	0.99999231	2.28e-06	5.4e-06
21	43210000	43260000	NA06984	2	43228469	43240824	0.99999943	1.5e-07	4.2e-07
21	43220000	43270000	NA06984	2	43228469	43240824	0.99999943	1.5e-07	4.2e-07
21	43280000	43330000	NA06984	1	43285675	43298715	0.99999863	2.8e-07	1.09e-06
21	43470000	43520000	NA06984	1	43493864	43515590	0.99999891	3e-07	7.9e-07
21	43480000	43530000	NA06984	2	43488016	43507700	0.99999462	9.1e-07	4.47e-06
21	43490000	43540000	NA06984	2	43495250	43507700	0.99999894	3.1e-07	7.4e-07
21	43680000	43730000	NA06984	1	43713710	43726490	0.9999976	6.5e-07	1.75e-06
21	43880000	43930000	NA06984	1	43880975	43896583	0.99987829	8.465e-05	3.706e-05
21	44060000	44110000	NA06984	1	44073072	44089064	0.99999855	4.2e-07	1.03e-06
21	44120000	44170000	NA06984	1	44144794	44155445	0.99999738	8.8e-07	1.74e-06
21	44130000	44180000	NA06984	1	44144794	44155445	0.99999738	8.8e-07	1.74e-06
21	44160000	44210000	NA06984	2	44177999	44189459	0.99999939	1.7e-07	4.4e-07
21	44240000	44290000	NA06984	1	44265585	44284171	0.99999728	1.45e-06	1.28e-06
21	44330000	44380000	NA06984	1	44360107	44372378	0.99999903	2e-07	7.8e-07
21	44340000	44390000	NA06984	2	44345369	44362015	0.99999879	3.5e-07	8.7e-07
21	44350000	44400000	NA06984	2	44350854	44362015	0.99999931	2e-07	4.9e-07
21	44470000	44520000	NA06984	2	44480115	44496941	0.99999882	4.3e-07	7.4e-07
21	44480000	44530000	NA06984	2	44480115	44496941	0.99999882	4.3e-07	7.4e-07
21	45020000	45070000	NA06984	1	45037049	45049173	0.99999845	5.7e-07	9.7e-07
21	45490000	45540000	NA06984	2	45527678	45539426	0.99999877	2.7e-07	9.6e-07
21	45600000	45650000	NA06984	2	45632120	45649714	0.99999808	2.6e-07	1.66e-06
21	45610000	45660000	NA06984	2	45632120	45649714	0.99999808	2.6e-07	1.66e-06
21	45620000	45670000	NA06984	2	45632120	45649714	0.99999808	2.6e-07	1.66e-06
21	45720000	45770000	NA06984	1	45724827	45746293	0.99999656	1.61e-06	1.83e-06
21	45730000	45780000	NA06984	2	45759486	45770194	0.99999734	7.7e-07	1.89e-06
21	45910000	45960000	NA06984	2	45936785	45958500	0.99999944	1.6e-07	3.9e-07
21	46260000	46310000	NA06984	1	46292613	46308441	0.9999991	2.2e-07	6.8e-07
21	47400000	47450000	NA06984	1	47408449	47423509	0.99999921	2.9e-07	5e-07
21	47530000	47580000	NA06984	2	47563962	47579201	0.99999867	3.9e-07	9.4e-07
21	47550000	47600000	NA06984	1	47559610	47569642	0.9999991	2.7e-07	6.3e-07
21	47580000	47630000	NA06984	1	47609578	47626728	0.9999986	4.4e-07	9.6e-07
21	47720000	47770000	NA06984	2	47733844	47755656	0.99999875	2.8e-07	9.7e-07
21	47730000	47780000	NA06984	2	47733844	47755656	0.99999875	2.8e-07	9.7e-07
21	47840000	47890000	NA06984	2	47866396	47878043	0.99999933	1.7e-07	5e-07
21	47850000	47900000	NA06984	2	47866396	47878043	0.99999933	1.7e-07	5e-07
21	47930000	47980000	NA06984	2	47953725	47975703	0.99999813	5.3e-07	1.34e-06
21	47940000	47990000	NA06984	2	47953725	47975703	0.99999813	5.3e-07	1.34e-06
21	47950000	48000000	NA06984	2	47953725	47975703	0.99999813	5.3e-07	1.34e-06
21	47960000	48010000	NA06984	2	47964259	47975703	0.9999986	3.8e-07	1.03e-06
21	48070000	48120000	NA06984	1	48082324	48106311	0.99999858	2.8e-07	1.13e-06
21	48080000	48130000	NA06984	1	48082324	48106311	0.99999858	2.8e-07	1.13e-06
21	15490000	15540000	NA06985	2	15491560	15511035	0.99999829	6.4e-07	1.07e-06
21	15640000	15690000	NA06985	1	15641411	15656277	0.99999897	3e-07	7.2e-07
21	16270000	16320000	NA06985	1	16300295	16317218	0.99999898	2.9e-07	7.3e-07
21	16410000	16460000	NA06985	1	16439759	16456234	0.99999804	7.1e-07	1.25e-06
21	17580000	17630000	NA06985	1	17610852	17624130	0.99999773	4e-07	1.88e-06
21	17590000	17640000	NA06985	1	17610852	17624130	0.99999773	4e-07	1.88e-06
21	17590000	17640000	NA06985	2	17590359	17604706	0.99999881	4.2e-07	7.7e-07
21	18050000	18100000	NA06985	2	18083791	18099779	0.9999989	3.3e-07	7.7e-07
21	18230000	18280000	NA06985	2	18260519	18274613	0.9999992	2.1e-07	5.9e-07
21	18240000	18290000	NA06985	2	18260519	18274613	0.9999992	2.1e-07	5.9e-07
21	18250000	18300000	NA06985	2	18260519	18274613	0.9999992	2.1e-07	5.9e-07
21	18260000	18310000	NA06985	2	18260519	18274613	0.9999992	2.1e-07	5.9e-07
21	18480000	18530000	NA06985	2	18504625	18522282	0.99999914	2.5e-07	6e-07
21	19380000	19430000	NA06985	1	19408893	19428835	0.9999815	3.3e-06	1.52e-05
21	19400000	19450000	NA06985	2	19414113	19430935	0.99999246	1.43e-06	6.11e-06
21	19410000	19460000	NA06985	2	19414113	19430935	0.99999246	1.43e-06	6.11e-06
21	19450000	19500000	NA06985	2	19481155	19491664	0.99998729	7.1e-07	1.199e-05
21	19460000	19510000	NA06985	2	19481155	19491664	0.99998729	7.1e-07	1.199e-05
21	19800000	19850000	NA06985	2	19800948	19819884	0.99999853	3.5e-07	1.11e-06
21	20040000	20090000	NA06985	1	20070690	20080934	0.99999085	4.11e-06	5.05e-06
21	20100000	20150000	NA06985	1	20104348	20117706	0.99999794	3.6e-07	1.7e-06
21	20320000	20370000	NA06985	2	20342733	20361403	0.9999931	3.4e-06	3.49e-06
21	20330000	20380000	NA06985	1	20356977	20377600	0.99999546	1.18e-06	3.36e-06
21	21600000	21650000	NA06985	2	21600860	21625850	0.99999775	1.04e-06	1.21e-06
21	21740000	21790000	NA06985	2	21772199	21789664	0.9999991	2.7e-07	6.3e-07
21	22990000	23040000	NA06985	1	23012895	23027205	0.99999909	2e-07	7.1e-07
21	23250000	23300000	NA06985	1	23260324	23281038	0.99999891	4e-07	6.9e-07
21	23280000	23330000	NA06985	2	23281481	23295949	0.99999834	4.8e-07	1.18e-06
21	23300000	23350000	NA06985	2	23330317	23348887	0.99999761	1.23e-06	1.16e-06
21	24110000	24160000	NA06985	1	24142700	24155509	0.99999934	2e-07	4.6e-07
21	24240000	24290000	NA06985	2	24264114	24279072	0.99999929	2.2e-07	4.8e-07
21	24620000	24670000	NA06985	2	24658419	24669837	0.99999835	5.8e-07	1.07e-06
21	24650000	24700000	NA06985	1	24650977	24664931	0.99999457	1.35e-06	4.09e-06
21	24710000	24760000	NA06985	2	24735709	24747626	0.9999995	1.5e-07	3.5e-07
21	24720000	24770000	NA06985	2	24735709	24747626	0.9999995	1.5e-07	3.5e-07
21	24870000	24920000	NA06985	2	24872820	24890212	0.99998794	4.18e-06	7.88e-06
21	24900000	24950000	NA06985	2	24930505	24944484	0.99996095	1.074e-05	2.831e-05
21	24910000	24960000	NA06985	2	24930505	24944484	0.99996095	1.074e-05	2.831e-05
21	25020000	25070000	NA06985	1	25053918	25069439	0.99999932	1.8e-07	5e-07
21	25060000	25110000	NA06985	1	25061565	25075849	0.99999861	2.5e-07	1.14e-06
21	25090000	25140000	NA06985	1	25118689	25134614	0.99999641	1.71e-06	1.87e-06
21	25600000	25650000	NA06985	1	25631849	25648843	0.99999906	2.8e-07	6.6e-07
21	25610000	25660000	NA06985	1	25631849	25652289	0.99996479	7.66e-06	2.756e-05
21	25880000	25930000	NA06985	2	25913626	25929162	0.99993261	4.358e-05	2.381e-05
21	25900000	25950000	NA06985	2	25913626	25929162	0.99993261	4.358e-05	2.381e-05
21	26000000	26050000	NA06985	1	26007913	26025951	0.99999945	1.8e-07	3.8e-07
21	26000000	26050000	NA06985	2	26015184	26025716	0.99999864	4.5e-07	9.2e-07
21	27210000	27260000	NA06985	2	27234387	27252234	0.99999795	9.8e-07	1.07e-06
21	27220000	27270000	NA06985	2	27234387	27252234	0.99999795	9.8e-07	1.07e-06
21	27300000	27350000	NA06985	1	27322864	27343586	0.9999992	2e-07	6e-07
21	27310000	27360000	NA06985	1	27322864	27343586	0.9999992	2e-07	6e-07
21	27830000	27880000	NA06985	2	27847331	27867098	0.99999296	2.69e-06	4.36e-06
21	27840000	27890000	NA06985	1	27854434	27868007	0.99999401	2.29e-06	3.7e-06
21	27930000	27980000	NA06985	1	27964593	27979181	0.9999995	1.5e-07	3.5e-07
21	28110000	28160000	NA06985	1	28120060	28138881	0.99999796	4.1e-07	1.63e-06
21	28240000	28290000	NA06985	2	28276542	28287478	0.99999922	1.5e-07	6.2e-07
21	28320000	28370000	NA06985	2	28320289	28332351	0.99999816	4.6e-07	1.38e-06
21	28470000	28520000	NA06985	2	28490263	28512079	0.99999896	3.8e-07	6.7e-07
21	28480000	28530000	NA06985	2	28490263	28512079	0.99999896	3.8e-07	6.7e-07
21	28950000	29000000	NA06985	1	28972375	28990202	0.99999286	2.42e-06	4.72e-06
21	28970000	29020000	NA06985	2	28973009	28987533	0.9999927	2.69e-06	4.61e-06
21	29230000	29280000	NA06985	2	29234844	29251508	0.99999947	1.5e-07	3.8e-07
21	29590000	29640000	NA06985	1	29591670	29613132	0.99998996	4.47e-06	5.57e-06
21	29650000	29700000	NA06985	2	29677593	29689980	0.99999583	1.24e-06	2.93e-06
21	31360000	31410000	NA06985	1	31361240	31375263	0.99999695	7.9e-07	2.26e-06
21	32010000	32060000	NA06985	1	32037484	32054821	0.999999	2.7e-07	7.3e-07
21	32160000	32210000	NA06985	1	32184049	32196735	0.99997944	4.87e-06	1.569e-05
21	32280000	32330000	NA06985	2	32317596	32329033	0.9999994	1.4e-07	4.6e-07
21	32290000	32340000	NA06985	2	32317596	32329033	0.9999994	1.4e-07	4.6e-07
21	32300000	32350000	NA06985	2	32317596	32329033	0.9999994	1.4e-07	4.6e-07
21	32310000	32360000	NA06985	2	32317596	32329033	0.9999994	1.4e-07	4.6e-07
21	32680000	32730000	NA06985	2	32712872	32727976	0.99999139	2.5e-06	6.11e-06
21	32760000	32810000	NA06985	2	32760184	32780139	0.99999821	5.3e-07	1.26e-06
21	33290000	33340000	NA06985	2	33325825	33337449	0.99928769	0.00029416	0.00041815
21	33310000	33360000	NA06985	1	33312419	33327851	0.99999706	6.8e-07	2.26e-06
21	33330000	33380000	NA06985	1	33362887	33376350	0.99999859	2.9e-07	1.13e-06
21	33480000	33530000	NA06985	2	33507803	33528562	0.99999927	2.3e-07	5e-07
21	33490000	33540000	NA06985	2	33507803	33528562	0.99999927	2.3e-07	5e-07
21	33500000	33550000	NA06985	2	33507803	33528562	0.99999927	2.3e-07	5e-07
21	34720000	34770000	NA06985	2	34748357	34768030	0.99999602	1.29e-06	2.68e-06
21	34730000	34780000	NA06985	2	34748357	34768030	0.99999602	1.29e-06	2.68e-06
21	34740000	34790000	NA06985	2	34748357	34768030	0.99999602	1.29e-06	2.68e-06
21	34760000	34810000	NA06985	1	34784342	34802561	0.99992719	1.287e-05	5.994e-05
21	34790000	34840000	NA06985	1	34802561	34812901	0.9999914	2.7e-06	5.9e-06
21	34840000	34890000	NA06985	2	34845307	34860205	0.99999639	1.05e-06	2.56e-06
21	34860000	34910000	NA06985	1	34882441	34901770	0.99999547	1.1e-06	3.44e-06
21	35310000	35360000	NA06985	1	35341579	35357034	0.99999846	4.4e-07	1.09e-06
21	35320000	35370000	NA06985	1	35341579	35357034	0.99999846	4.4e-07	1.09e-06
21	35970000	36020000	NA06985	2	35970712	35989970	0.99999333	2.18e-06	4.49e-06
21	36440000	36490000	NA06985	1	36463342	36479951	0.99999358	2.34e-06	4.08e-06
21	36960000	37010000	NA06985	1	36976205	36989540	0.99999864	5.1e-07	8.5e-07
21	36970000	37020000	NA06985	1	36970637	36989540	0.99999258	3.99e-06	3.43e-06
21	37040000	37090000	NA06985	2	37043407	37059039	0.99999879	4.3e-07	7.8e-07
21	37170000	37220000	NA06985	1	37189595	37207185	0.99999862	3.8e-07	1e-06
21	38010000	38060000	NA06985	1	38041859	38056548	0.99999929	2.4e-07	4.7e-07
21	38040000	38090000	NA06985	2	38064018	38074944	0.99999873	3.2e-07	9.4e-07
21	38390000	38440000	NA06985	2	38398391	38418843	0.99999814	6.5e-07	1.21e-06
21	38590000	38640000	NA06985	1	38594217	38614080	0.99999709	1.03e-06	1.88e-06
21	39090000	39140000	NA06985	1	39120362	39135487	0.99999924	2.2e-07	5.4e-07
21	39100000	39150000	NA06985	1	39120362	39135487	0.99999924	2.2e-07	5.4e-07
21	39160000	39210000	NA06985	1	39182957	39202275	0.99999809	5.2e-07	1.39e-06
21	39180000	39230000	NA06985	2	39182477	39202393	0.99999486	7.5e-07	4.39e-06
21	39230000	39280000	NA06985	1	39241640	39253836	0.99999656	8.8e-07	2.56e-06
21	39240000	39290000	NA06985	1	39241640	39253836	0.99999656	8.8e-07	2.56e-06
21	39260000	39310000	NA06985	1	39291477	39306265	0.9999735	8.27e-06	1.823e-05
21	39780000	39830000	NA06985	2	39805178	39821173	0.99999912	2.9e-07	5.9e-07
21	39790000	39840000	NA06985	2	39815576	39832471	0.99999891	2.9e-07	7.9e-07
21	39910000	39960000	NA06985	2	39947711	39959314	0.99999142	2.58e-06	6.01e-06
21	39920000	39970000	NA06985	2	39947711	39959314	0.99999142	2.58e-06	6.01e-06
21	40340000	40390000	NA06985	1	40368841	40380249	0.99999941	1.6e-07	4.3e-07
21	40350000	40400000	NA06985	1	40368841	40380249	0.99999941	1.6e-07	4.3e-07
21	40780000	40830000	NA06985	1	40812549	40828498	0.99999672	1.23e-06	2.05e-06
21	40790000	40840000	NA06985	2	40828665	40839630	0.99999549	1.14e-06	3.37e-06
21	41240000	41290000	NA06985	2	41269863	41282995	0.99999905	2.9e-07	6.7e-07
21	41250000	41300000	NA06985	2	41269863	41282995	0.99999905	2.9e-07	6.7e-07
21	41330000	41380000	NA06985	2	41336939	41349182	0.99999694	7.3e-07	2.33e-06
